,0
94,"The Prince and Princess of Wales visited the new Royal Liverpool University Hospital, where Kate told several teenagers that talking therapies 'don't work for everyone'"
95,The Prince and Princess of Wales speaking to staff at the hospital
96,The Princess of Wales today in Liverpool
97,The official Prince and Princess of Wales Twitter account tweeted: 'Hi Merseyside'
98,The Princess of Wales was seen chatting happily as they went out this morning
99,A hospital worker was overwhelmed with emotion after meeting the Prince and Princess of Wales at the Royal Liverpool University Hospital this afternoon and told her friends she was 'going to cry' after speaking to Kate and calling her 'beautiful'
100,"Despite the explosive claims made about the Prince and Princess of Wales in Prince Harry's memoir, Spare, including that they 'stereotyped' his wife Meghan, royal fans queued in their droves to meet the couple and take selfies"
101,The Prince and Princess of Wales arrive to officially open the new Royal Liverpool University Hospital in Liverpool
102,The Princess of Wales pictured during her visit to the GSK Human Performance Lab in Brentford on 12 November 2014
103,King Charles' press officer allegedly told Kate's team that she should not be pictured with a tennis racquet during her engagement as it would 'wipe Charles off the front page'. The Princess of Wales pictured playing tennis in September 2021
104,Prince Harry has claimed the Princess of Wales was among the members of his family who 'stereotyped' his wife Meghan. The royal wives are pictured in June 2018
105,Prince Harry told Tom Bradby that he felt 'slightly awkward' being a 'third wheel' to Prince William and Kate Middleton before meeting Meghan. The trio pictured in 2012
106,Prince Harry's former fling says she 'would have loved' Harry to have married 'somebody like Kate Middleton'. Pictured: The Princess of Wales and Duchess of Sussex at Wimbledon in 2019
107,The Prince and Princess of Wales arrive to officially open the new Royal Liverpool University Hospital in Liverpool
108,"The Princess of Wales wore minimal make-up for the occasion, and was perfectly happy  smiling to the waiting fans"
109,"Queen Rania of Jordan, 52, praised the Princess of Wales' passion for royal duty in an interview with CNN which was recorded in London in September 2022, ahead of the late Queen Elizabeth's funeral"
110,"The Jordanian Queen said Kate Middleton, pictured on Christmas Day in Sandringham, 'gives from the heart'"
111,Harry reveals tension was brewing between Kate Middleton and Meghan Markle from the beginning (pictured at Trooping the Color in 2018) as Meghan's joke left a 'yawning silence'
112,The Princess of Wales and the Duchess of Sussex pictured attending the Wimbledon women's singles final together in 2019
113,"Sarah Kingham, 44, from Chelmsford, Essex, has a Kate Middleton inspired wardrobe bursting with designer outfits worth thousands and she revealed her collection is all from charity shops"
114,The Prince and Princess of Wales receive a rapturous welcome as they visit the Royal Liverpool Hospital
115,A crowd of royal fans greet the Prince and Princess of Wales in Liverpool
116,The Prince and Princess of Wales wave to crowds on their first engagement since Harry's book hit the shelves
117,The Princess of Wales smiling and waving as she arrives in Liverpool
118,Hospital staff try and Get a glimpse of HRH Prince and Princess of Wales during a visit to the new Royal Liverpool Hospital
119,"The Princess of Wales chats to medics during today's visit, as members of the public look on"
120,The Prince and Princess of Wales visiting the new Royal Liverpool University Hospital
121,The Prince and Princess of Wales speaking to staff at the hospital
122,The Princess of Wales today in Liverpool
123,The Princess of Wales during a visit to Royal Liverpool University Hospital
124,The official Prince and Princess of Wales Twitter account tweeted: 'Hi Merseyside'
125,The Princess of Wales was seen chatting happily as they went out this morning
126,"It also includes claims the Prince of Wales physically attacked Harry and teased him about his panic attacks, and that the King put his own interests above Harry's and was jealous of the Duchess of Sussex and the Princess of Wales. (Pictured: Harry and William at Buckingham Palace on July 10, 2018)"
127,"Prince William and Prince Harry with the King (then Prince Charles) holding a funeral programme at Westminster Abbey for the funeral of Diana, Princess of Wales, September, 1997"
128,"Gary Goldsmith is the Princess of Wales' uncle, and brother to Carole Middleton"
129,"'But if there¿s a manual on ¿How Not To Behave When Joining The Royal Family¿, Meghan has been following it word for word!' Pictured: The Princess of Wales, the Prince of Wales and the Duke and Duchess of Sussex meet the public at Windsor Castle, Berkshire following the death of Queen Elizabeth II, September 10, 2022"
130,"'Entitlement, crassness and casual insensitivity hallmarked her encounters with Kate and William.' Pictured: Catherine, The Princess of Wales, Meghan, The Duchess of Sussex, Countess of Wessex at Windsor Castle, October 12, 2018"
131,"After withstanding three weeks of Harry napalming the Royal Family with his ‘truth bombs’, the Princess of Wales — whether unwittingly or not — dropped a little bomb of her own this week"
132,Prince Harry introduced Prince William to Meghan in late 2016. Pictured: The Prince and Princess of Wales and Duke and Duchess of Sussex in December 2017
133,The Prince and Princess of Wales visiting the Royal Liverpool University Hospital in Liverpool
134,Prince Harry also claims the King and Queen Consort suggested the Princess of Wales change her name to Katherine to avoid there being another name starting with 'C' in the family
135,The Prince and Princess of Wales visiting the Royal Liverpool University Hospital
136,The Prince and Princess of Wales showed their natural rapport with members of the public as they stopped for selfies during a visit to Liverpool yesterday
137,Healthcare assistant Anna O'Hara asked the Prince (pictured right) and Princess of Wales for selfies on the critical care ward at the Royal Liverpool University Hospital
138,The Prince and Princess of Wales arrive to officially open the new Royal Liverpool University Hospital in Liverpool
139,"The Prince and Princess of Wales visited the new Royal Liverpool University Hospital, where Kate told several teenagers that talking therapies 'don't work for everyone'"
140,The Princess of Wales chats to medics and visited Open Door Charity - who use arts and dance to help with well-being
141,"Julia Samuel was one of Princess Diana¿s closest friends, a loyal confidante offering support and advice during her darkest days. Pictured: Diana, Princess of Wales, with Mrs Julia Samuel in the royal box at Wimbledon's Centre Court, 1994"
142,Erdem Moralioglu is a favoured designer of both the Princess of Wales and the Duchess of Sussex
143,"Diana, Princess of Wales (centre) attends The Savoy¿s Centenary Ball in 1989"
144,"Princess Charlene of Monaco (far left) was garbed in £655,574 worth of clothing over the last year making her the royal with the most expensive wardrobe. Next in line is Princess Maria-Olympia of Greece and Denmark (middle left), who spent about a third of Princess Charlene with £201,761. Kate, Princess of Wales (middle right), took third place, with a spending of £192,636 on her wardrobe last year. Her sister-in-law Meghan, Duchess of Sussex (far right), spent just £94,796 on new clothes last year"
145,"Kate, Princess of Wales, took third place, with a spending of £192,636 on her wardrobe last year. During last year's visit in Boston, Kate dazzled in Asprey London emerald and diamond earrings worth £9425, a Solace London dress worth £350 (which she rented for £74), Gianvito Rossi pumps worth £2,070 as well as Queen Mary's Art Deco Emerald & Diamond Choker (borrowed, no estimate). The value of her outfit that evening comes to £11,845 at a minimum"
146,The Princess of Wales saw her wardrobe total soar during 2022 as she returned to regular royal engagements and foreign tours following the end of the Covid-19 pandemic
147,"The Princess of Wales (pictured visiting the Royal Liverpool University Hospital this week) is said to have 'already moved on' following claims in Prince Harry's memoir which 'baffled' her, according to reports"
148,"Prince Harry claims in his memoir that the Princess of Wales and the Duchess of Sussex exchanged tense text messages before Harry and Meghan's wedding (pictured: The sisters-in-law at Trooping the Colour, 2018)"
149,Prince Harry claims in his bombshell memoir Spare that the Prince and Princess of Wales 'stereotyped' Meghan as a 'biracial American actress' (pictured: Cover of Spare)
150,"Tominey was one of the first journalists to report on the dispute between Meghan Markle (right) and her sister-in-law Kate Middleton over Princess Charlotte's bridesmaid dress, which supposedly left Kate in tears. However, the Sussexes later claimed in their March 2021 interview with Oprah Winfrey that it was Meghan who broke down in tears"
151,"William and Kate, the Prince and Princess of Wales, pictured here at Royal Liverpool University Hospital in Merseyside on Thursday, are set to attend the funeral"
152,"In his explosive memoir, Harry claims his wife Meghan Markle was left 'on the floor sobbing' by a row with her sister-in-law Kate Middleton over Princess Charlotte's bridesmaid's dresses"
153,Clothing created by fashion designer Erdem Moralioglu (pictured in London in December 2022) is said to have created some tension between Kate Middleton and Meghan Markle
154,"Paul Burrell, pictured here with Diana in 1997, served the Princess of Wales as her butler for 10 years"
155,The Prince and Princess of Wales arrived at Kate's Christmas carol service at Westminster Abbey in matching burgundy outfits following the Duke and Duchess of Sussex's second instalment of their Netflix series
156,The Prince and Princess of Wales attended the Royal Liverpool University Hospital last week in another set of matching outfits
157,Sources told the Mirror that the Princess of Wales (pictured in Merseyside) had 'already moved on' from Prince Harry's memoir claims
158,"Julia Samuel was one of Princess Diana¿s closest friends, a loyal confidante offering support and advice during her darkest days. Pictured: Diana, Princess of Wales, with Mrs Julia Samuel in the royal box at Wimbledon's Centre Court, 1994"
159,"The Princess of Wales famously wore the glittery piece of jewelry during a London charity gala in October 1987. She paired the lavish necklace with a black and burgundy long-sleeved velvet gown, which came with a ruffled neckpiece"
160,The Prince and Princess of Wales have paid tribute to Auschwitz survivor Zigi Shipper after he died on his 93rd birthday
161,"The Princess of Wales and Zigi Shipper, second from left, during the then Duke and Duchess of Cambridge's visit to Stutthof, the former Nazi German concentration camp near Gdansk, Poland in 2017 (Also pictured: third from left, Manfred Goldberg, far right, Prince William)"
162,The Prince and Princess of Wales first met Zigi while visiting the Stutthof concentration camp in Poland in 2017 (pictured)
163,The Princess of Wales shared an adorable moment with a little girl dressed up as Snow White during her visit to Foxcubs Nursery in Luton today
164,Peek-a-boo! The Princess of Wales larked about with the children at the Foxcubs nursery in Luton this morning
165,"A royal upstaging! One cheeky tot named Ezaan, three, proudly shows off his toys and construction hat as the camera points to the Princess of Wales"
166,"Kate Middleton, 41, opted to wear a £349 Massimo Dutty coat she's sported in the past, to meet with local children at the Foxcubs Nursery in Luton this morning"
167,Kate Middleton first wore the coat from Massimo Dutti to visit Cardiff during a nationwide tour in January 2020 (pictured)
168,"Peek-a-boo! The Princess of Wales, 41, playfully holds up a mask at the Foxcubs Nursery in Luton this morning"
169,The Princess of Wales chatted to the girl as she also joined in to play in the sandpit at the nursery
170,Hard at work! The concentration on this young pupil's face is immeasurable as the Princess of Wales helps her with a task
171,The Princess of Wales crouched down at the children's table as she chatted to them after arriving at the nursery
172,It comes after a separate survey found public approval ratings for all royals had slipped since the publication of Prince Harry's controversial memoir - with the Prince and Princess of Wales suffering the biggest loss
173,"The Princess of Wales has revealed her youngest son Louis, five, is 'mad about rugby' and added her family are competitive during her visit to Hampton Court Palace this afternoon where she hosted the England wheelchair rugby league team (pictured: Louis cheering at Queen Elizabeth's Platinum Jubilee in June)"
174,"The Princess of Wales, 41, revealed Prince George, nine, Princess Charlotte, seven, and Prince Louis, five, are all fiercely competitive. Pictured: The Waleses in their Christmas card family photo"
175,Wimbledon has today appointed its first female Chair - but it's just one of the many historic leaps Debbie Jevans CBE (pictured with the Prince and Princess of Wales in July) has racked up in her career
176,The Princess of Wales glowed in a burgundy suit as she arrived at Hampton Court Palace this afternoon
177,The Princess of Wales wore a simple gold necklace and plain hoop earrings for the reception at Hampton Court Palace
178,The Princess of Wales hosted a reception for the England Wheelchair Rugby League team in recognition of their success at the recent Rugby League World Cup at Hampton Court Palace
179,"The Princess of Wales with Josie Hill, (left), James Simpson and coach Tom Cold (right) with the team's trophy"
180,"The Princess of Wales hosted a champagne reception for the England Rugby squad to discuss their victory in November's tournament, which was England's first since the inaugural competition in 2008"
181,The Princess of Wales pictured shaking hands with a guest at her reception at Hampton Court Palace
182,The Princess of Wales went out of her way to greet guests at her reception in their honour this afternoon
183,"Kate poses with the England Wheelchair Rugby League team. Back row - Tom Cold (head coach), John McMullen (asst. coach), Lewis King, Tom Halliwell, The Princess of Wales, Mark Oxley(trainer), Set Bechara, Dec Roberts, Rob Hawkins & James Simpson.(L-R) Front row - Nathan Collins, Wayne Boardman & Adam Rigby"
184,"The Princess of Wales, Princess Charlotte, Zara Tindall and Pippa Middleton all matched in burgundy for Kate's Christmas carol service last month"
185,The Princess of Wales
186,The Princess of Wales
187,"The Princess of Wales with Simon Johnson, Chair of the RFL"
188,"The Princess of Wales with Simon Johnson, Chair of the RFL"
189,The Princess of Wales paired her burgundy suit with some matching suede heels and minimal gold jewellery
190,Kate Middleton donned a burgundy coat to attend her Together at Christmas Carol Service at Westminster Abbey last month
191,"The Princess of Wales' sister Pippa Middleton (pictured) also joined in on the burgundy coat trend, matching hers with a pair of brown boots"
192,Meanwhile the Princess of Wales also opened a branch of the youth charity in Willesden in the nineties (pictured)
193,"Did Prince Harry intended to damage William and Kate with the publication of Spare? If so, he will be gratified to know he has succeeded. An Ipsos Mori poll this week reveals both the Prince and Princess of Wales¿s popularity in the UK has fallen: William¿s by eight percentage points, Kate¿s by seven"
194,"Kate Middleton, 41 - who has since the release attended public engagements at a hospital in Liverpool and a nursery in Luton - was praised for 'putting duty before herself'"
195,The Princess of Wales wore a Roland Mouret burgundy suit for her engagement at Hampton Court yesterday. The mother-of-three completed her outfit with his £825 gold necklace by Daniella Draper
196,Kate Middleton paid a sweet tribute to her children in May 2021 with a personalised charm necklace by Daniella Draper bearing their initials
197,Kate Middleton donned a gold necklace by Daniella Draper featuring a pendant engraved the with initials of her children as she stepped out in Cardiff in January 2020
198,It comes after a separate survey found public approval ratings for all royals had slipped since the publication of Prince Harry's controversial memoir - with the Prince and Princess of Wales suffering the biggest loss
199,"The Princess of Wales, 41, has been known to lead an active lifestyle, and enjoys a variety of sports in her free time. Pictured in February 2022 during a visit to Twickenham stadium where she met with the England's team players"
200,"Kate Middleton is also an experience rower. During hers and Prince William's trip to the Caribbean in March 2022, she took part in a sailing expedition onboard a boat from the Bahamas Platinum Jubilee Sailing Regatta at Montagu Bay, pictured"
201,The Prince and Princess of Wales trying their hands at land yachting on the beach at St Andrews in Scotland in May 2021
202,"Kate, right, and her sister Pippa playing hockey at Marlborough College in Wiltshire when the Princess of Wales was 18"
203,Harry claims the King put his own interests above his younger son´s and was jealous of the Duchess of Sussex and the Princess of Wales
204,"Charles, the younger brother of the late Princess of Wales, had revealed that Greg had asked for his blessing before proposing in South Africa"
205,"The Princess of Wales famously wore the glittery piece of jewelry during a London charity gala in October 1987. She paired the lavish necklace with a black and burgundy long-sleeved velvet gown, which came with a ruffled neckpiece"
206,"The Prince and Princess of Wales and their children Prince George, Princess Charlotte and Prince Louis pictured outside the Norfolk church last month"
207,"In his memoirs, The Glossy Years, Sir Nicholas Coleridge gave a glimpse of life in the fashion landmark, writing: 'When the lift doors opened, it could be anyone inside. The Princess of Wales, Kate Moss, Linda Evangelista (pictured), male models on their way to castings, posh totty walking dogs, interior designers delivering lampshades to House & Garden Magazine¿ this was the daily traffic of Vogue House'"
208,The Princess of Wales is choosing to follow in the Queen's footsteps by wearing a kaleidoscope of colours
209,The Princess of Wales wore orange during her visit to Foxcubs Nursery in Luton on January 18
210,The Princess of Wales donned a green gown for the Earthshot Prize 2022
211,"In choosing to adopt a cheerful colour scheme, the Princess of Wales has proven that she and the Queen share an ability to bring brightness wherever they go"
212,A pair of lookalikes aiming to appear like the Prince and Princess of Wales have posed with Prince Harry's bombshell memoir Spare in a campaign to promote Birds Eye Green Cuisine (pictured)
213,"The Prince and Princess of Wales shared a heartfelt message, addressed to the New Zealand PM, on their Twitter page"
214,The Prince and Princess of Wales are often seen posing for selfies during royal engagements with members of the public (pictured)
215,The Princess of Wales dons a vintage bouclé Chanel jacket in cobalt blue to attend the 10th anniversary Coach Core in east London
216,Kate Middleton (pictured) visits Sandringham in September last year to view floral tributes left for Queen Elizabeth II
217,"The Princess of Wales leaves following a visit to the Copper Box Arena in the Queen Elizabeth Olympic Park, in east London"
218,"The Princess of Wales visits The Street, a community hub that hosts local organisations to grow and develop their service, during an official visit to Scarborough in November"
219,Lady in red: the Princess of Wales (pictured) dons a red coat to attend the Rugby League World Cup quarter-final match in Wigan in November 2022
220,The Princess of Wales wears a tartan coat as she attends a tree planting in Westminster Abbey to mark the memory of Queen Elizabeth
221,"For 'social climbers', Royal fashion is the paragon of high style and they avidly study what George, Charlotte and Louis (pictured with their parents the Prince and Princess of Wales) are wearing and recreate it upon their own 'heir and several spares' faithfully"
222,Kate Middleton looks chic as ever in a burgundy suit
223,The Princess of Wales met with experts in the Green Drawing Room at Windsor Castle today to discuss work of the Royal Foundation Centre for Early Childhood
224,The Princess of Wales looked smart in an Alexander McQueen blazer as she met with experts specialising in early childhood development at Windsor Castle today
225,Some of the UK's biggest and best-known charities will take part in a day of volunteering for the coronation. Pictured: The Princess of Wales visits Foodshare in Windsor
226,"The Princess of Wales met with experts from across academia, science and the early years sector as she prepares to launch her Early Years campaign next week"
227,"Fearne teased her collaboration with blogger Giovanna on her Instagram page, with some fans speculating it might have to do with the Princess of Wales campaign"
228,"Royal fans speculated on the reasons for the two presenters' visit, and some felt strongly that their project included Kate Middleton"
229,"The Princess of Wales, 41, looked relaxed during her meeting to discuss the campaign, which she said tackles 'complicated' issues about early years education"
